type,condition1,trialNo,stim1,textColor,stimFormat,key,ITI,presTime,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,thisRow.t,notes,welcome.started,text_welcome.started,press_space.started,welcome.stopped,press_space.keys,press_space.rt,press_space.duration,trial.started,key_resp.started,randomImage.started,randomImage.stopped,text_stroop.started,dot.started,text_stroop.stopped,trial.stopped,stroop.key_resp.keys,stroop.key_resp.corr,stroop.key_resp.rt,stroop.key_resp.duration,time_fixation,fixation.started,dot_fixation.started,dot_fixation.stopped,fixation.stopped,dot.stopped,thanks.started,thank_you.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
test,consistent,47,blue,blue,word,m,800,2000,127,9,2,m,1,0.6105233999987831,None,2,9,127,46,625.3399801000014,,,,,,,,,624.9392126999992,625.3399801000014,625.3399801000014,625.3399801000014,625.3399801000014,625.3430212999992,625.3430212999992,625.955891900001,m,1,0.6105233999987831,None,1.9275362550427169,625.9566745000011,625.9720987000001,628.5070702000012,627.8723830000017,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,inconsistent,14,yellow,blue,word,z,800,2000,128,10,2,z,1,0.4978432999996585,None,2,10,128,13,628.5070702000012,,,,,,,,,628.2061356000013,628.5070702000012,628.5070702000012,628.5070702000012,628.5070702000012,628.5888037000004,628.5888037000004,629.0060166000003,z,1,0.4978432999996585,None,1.0949661798225439,629.0068259,629.0221627999999,630.5109900999996,630.0895138000014,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,inconsistent,26,green,yellow,word,z,800,2000,129,11,2,z,1,0.9075374000021839,None,2,11,129,25,630.5109900999996,,,,,,,,,630.4115270000002,630.5109900999996,630.5109900999996,,630.5109900999996,630.8060044000013,630.8060044000013,631.4233690000001,z,1,0.9075374000021839,None,5.258429414403239,631.4242274999997,631.4391308999984,637.3210547999988,636.6734543999992,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,inconsistent,24,blue,green,word,z,800,2000,130,12,2,z,1,0.47081100000286824,None,2,12,130,23,637.3210547999988,,,,,,,,,637.0216844999995,637.3210547999988,637.3210547999988,637.3210547999988,637.3210547999988,637.3896411999995,637.3896411999995,637.8072590000011,z,1,0.47081100000286824,None,2.361174274195281,637.8080851999985,637.8231860999986,640.7932040000014,640.1571920999995,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,inconsistent,29,green,blue,word,z,800,2000,131,13,2,z,1,0.5945968000014545,None,2,13,131,28,640.7932040000014,,,,,,,,,640.5357117999993,640.7932040000014,640.7932040000014,640.7932040000014,640.7932040000014,640.8733898999999,640.8733898999999,641.3905326999993,z,1,0.5945968000014545,None,3.0821752731990326,641.3913548000019,641.4068775999986,645.0788616999998,644.4578384999986,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,inconsistent,50,yellow,green,word,z,800,2000,132,14,2,z,1,0.4463039000002027,None,2,14,132,49,645.0788616999998,,,,,,,,,644.7829726000018,645.0788616999998,645.0788616999998,645.0788616999998,645.0788616999998,645.173727100002,645.173727100002,645.541290000001,z,1,0.4463039000002027,None,3.9692636723260932,645.5421462000013,645.5574175000002,650.2015105999999,649.5082172000002,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,consistent,49,yellow,yellow,word,m,800,2000,133,15,2,z,0,0.45640260000072885,None,2,15,133,48,650.2015105999999,,,,,,,,,649.9020808999994,650.2015105999999,650.2015105999999,650.2015105999999,650.2015105999999,650.2045324999999,650.2045324999999,650.6749640999988,z,0,0.45640260000072885,None,5.0465047610392615,650.6758063000016,650.6911714000016,656.2923020999988,655.7088072000006,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,consistent,38,blue,blue,word,m,800,2000,134,16,2,m,1,0.5638268000002427,None,2,16,134,37,656.2923020999988,,,,,,,,,656.0338680999994,656.2923020999988,656.2923020999988,656.2923020999988,656.2923020999988,656.4245727999987,656.4245727999987,656.8582638000007,m,1,0.5638268000002427,None,5.066045502464874,656.8587953999995,656.8743954999991,662.4785544000006,661.9094494000019,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,inconsistent,5,orange,blue,word,z,800,2000,135,17,2,z,1,0.5361215000011725,None,2,17,135,4,662.4785544000006,,,,,,,,,662.2228433000018,662.4785544000006,662.4785544000006,662.4785544000006,662.4785544000006,662.6256852000006,662.6256852000006,663.0263010000017,z,1,0.5361215000011725,None,1.3098190972982455,663.0271275999985,663.042504699999,664.9225545000008,664.3266609999991,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,inconsistent,53,red,yellow,word,z,800,2000,136,18,2,z,1,0.5636921999976039,None,2,18,136,52,664.9225545000008,,,,,,,,,664.624553900001,664.9225545000008,664.9225545000008,664.9225545000008,664.9225545000008,665.0424148999991,665.0424148999991,665.4932818999987,z,1,0.5636921999976039,None,1.2640968380903237,665.4943903999992,665.5090873000008,667.2311828999991,666.7431948000012,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
