type,condition1,trialNo,stim1,textColor,stimFormat,key,ITI,presTime,thisN,thisTrialN,thisRepN,press.keys,press.corr,press.rt,press.duration,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,thisRow.t,notes,welcome.started,press_space.started,text_welcome.started,welcome.stopped,press_space.keys,press_space.rt,press_space.duration,trial.started,press.started,text_stroop.started,sound_1.started,dot.started,text_stroop.stopped,trial.stopped,stroop.press.keys,stroop.press.corr,stroop.press.rt,stroop.press.duration,time_fixation,fixation.started,dot_fixation.started,dot_fixation.stopped,fixation.stopped,thanks.started,thank_you.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
test,inconsistent,44,green,red,word,z,800,2000,37,37,0,z,1,0.5845560000016121,None,0,37,37,43,163.0024426000018,,,,,,,,,162.99515930000052,163.0024426000018,163.0024426000018,0.022857699997985037,163.18816380000135,163.18816380000135,163.5901699999995,z,1,0.5845560000016121,None,5.651023606336409,163.59097649999967,163.60479309999937,169.26883100000123,169.2402691999996,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
test,inconsistent,52,red,green,word,z,800,2000,38,38,0,z,1,0.6012854999971751,None,0,38,38,51,169.26883100000123,,,,,,,,,169.26275259999966,169.26883100000123,169.26883100000123,0.022509400001581525,169.4555075999997,169.4555075999997,169.8743835000023,z,1,0.6012854999971751,None,2.9117698886694363,169.87521470000138,169.88878040000054,172.80294960000174,172.77330240000083,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
test,consistent,12,yellow,yellow,word,m,800,2000,39,39,0,m,1,0.6728521000004548,None,0,39,39,11,172.80294960000174,,,,,,,,,172.7971045000013,172.80294960000174,172.80294960000174,0.0237252000006265,172.98903849999988,172.98903849999988,173.49146120000296,m,1,0.6728521000004548,None,3.878081372035916,173.49230220000027,173.50582670000222,177.38608810000005,177.35789479999949,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
test,inconsistent,50,yellow,green,word,z,800,2000,40,40,0,z,1,0.7228598999972746,None,0,40,40,49,177.38608810000005,,,,,,,,,177.3792710000016,177.38608810000005,177.38608810000005,0.02165180000156397,177.57237449999957,177.57237449999957,178.12455110000155,z,1,0.7228598999972746,None,3.0150721479262392,178.12515239999993,178.13974820000294,181.1490612000016,181.12428510000245,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
test,inconsistent,14,yellow,blue,word,z,800,2000,41,41,0,z,1,0.5591042000014568,None,0,41,41,13,181.1490612000016,,,,,,,,,181.14298030000282,181.1490612000016,181.1490612000016,0.018851900000299793,181.34002090000286,181.34002090000286,181.72510030000194,z,1,0.5591042000014568,None,1.469597663495283,181.72578330000033,181.73995970000033,183.22419330000048,183.19137469999987,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
test,inconsistent,13,purple,red,word,z,800,2000,42,42,0,z,1,0.5008851999991748,None,0,42,42,12,183.22419330000048,,,,,,,,,183.21848300000056,183.22419330000048,183.22419330000048,0.027121300001454074,183.40681680000125,183.40681680000125,183.74234179999985,z,1,0.5008851999991748,None,4.677554766865752,183.74307950000002,183.75669639999978,188.46898440000223,188.40838820000135,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
test,inconsistent,22,red,yellow,word,z,800,2000,43,43,0,z,1,0.8590641000009782,None,0,43,43,21,188.46898440000223,,,,,,,,,188.4619444000018,188.46898440000223,188.46898440000223,0.05376030000115861,188.6242037000011,188.6242037000011,189.34270070000275,z,1,0.8590641000009782,None,5.082719228463635,189.34346899999946,189.35759920000055,194.46119399999952,194.42578910000157,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
test,consistent,28,yellow,yellow,word,m,800,2000,44,44,0,z,0,0.45104039999932866,None,0,44,44,27,194.46119399999952,,,,,,,,,194.45564809999996,194.46119399999952,194.46119399999952,0.029642199999216245,194.6408541000019,194.6408541000019,194.9261609000023,z,0,0.45104039999932866,None,3.8186508415706624,194.92670590000125,194.94088349999947,198.77225920000274,198.74263319999955,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
test,inconsistent,56,green,red,word,z,800,2000,45,45,0,z,1,0.5649548000001232,None,0,45,45,55,198.77225920000274,,,,,,,,,198.76502170000094,198.77225920000274,198.77225920000274,0.022654899999906775,198.95824070000162,198.95824070000162,199.34367960000236,z,1,0.5649548000001232,None,4.946964376394144,199.3443514999999,199.3584617000015,204.30434500000047,204.27645889999985,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
test,inconsistent,31,yellow,red,word,z,800,2000,46,46,0,z,1,0.5488613999987138,None,0,46,46,30,204.30434500000047,,,,,,,,,204.29820400000244,204.30434500000047,204.30434500000047,0.021715300001233118,204.49212510000143,204.49212510000143,204.8610546000018,z,1,0.5488613999987138,None,4.9422131009799255,204.86170200000197,204.87546190000285,209.82227319999947,209.7938060000015,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
